enabled	verified	applyDefault	officialTechnicId	catalogId	name	conflictGroup	stackRule	attack	attackPct	magic	magicPct	speed	speedPct	dmgPct	extraAC	extraACPct	extraHP	extraHPPct	extraMP	extraMPPct	extraST	extraSTPct	extraMaxWeight	extraMaxWeightPct	extraHit	extraHitPct	extraAvoid	extraAvoidPct	extraAttackDelay	extraAttackDelayPct	extraMagicDelay	extraMagicDelayPct	extraFireRes	extraFireResPct	extraWaterRes	extraWaterResPct	extraEarthRes	extraEarthResPct	extraWindRes	extraWindResPct	extraNeutralRes	extraNeutralResPct	extraDamageReducePct	extraCritRatePct	extraBreath	extraHearing	extraSeeing	extraSmelling	extraFullness	extraThirst	extraSteal	extraLockpickingFail	extraFangAttack	extraFishingGaugeLength	extraFishingHitZone	extraSmithingGradeZone	extraSmithingGaugeSlip	extraSmithingHitZone	extraCarpentryGradeZone	extraCarpentryGaugeSlip	extraCarpentryHitZone	extraTailoringGradeZone	extraTailoringGaugeSlip	extraTailoringHitZone	extraDecorationGradeZone	extraDecorationGaugeSlip	extraDecorationHitZone	extraCookingGradeZone	extraCookingGaugeSlip	extraCookingHitZone	extraBrewingGradeZone	extraBrewingGaugeSlip	extraBrewingHitZone	extraAlchemyGradeZone	extraAlchemyGaugeSlip	extraAlchemyHitZone	extraReplicationGradeZone	extraReplicationGaugeSlip	extraReplicationHitZone	extraBeautyGaugeSlip	extraBeautyHitZone	hpRegenPerMinute	stRegenPerMinute	mpRegenPerMinute	stCostReducePct	mpCostReducePct	itemUseDelayPct	physicalDamageReducePct	physicalReflectPct	magicReflectPct	skillEffects	customEffects	memo	source	wikiName	matchStatus	matchedBuffIds	matchedOfficialTechnicIds	parsedStatsHint	unparsedNotes	equipmentNames	rawInfo	sourcePage	wikiId
			3775	technic-3775	AGI 3%UP	technic-3775	same-technic																					3																																																																		wiki-manual	AGI 3%UP	matched	technic-3775	3775	回避%:3%		頭乗せ狐面 / フェザー リング / メカニカル ヘッドフォン / チャイナガール ウィッグ / 狩人の上衣 / ハルピュイア ヘッド ウイング	回避が 3%上昇する ※WarAgeでは効果が無い 回避+3% ウインド ベル、オートマチック スラスター、風の鍵と併用可能	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:1
			12615	technic-12615	縁下力持 (アーテル・アシスト)	technic-12615	same-technic																																																																																							wiki-manual	縁下力持 (アーテル・アシスト)	matched	technic-12615	12615		数値効果を自動抽出できませんでした	リリルカ・アーデ なりきりウィッグ( カラー) / リリルカ・アーデ なりきりウェア( カラー) / リリルカ・アーデ なりきりグローブ( カラー) / リリルカ・アーデ なりきりパンツ( カラー) / リリルカ・アーデ なりきりブーツ( カラー)	持ち物の重さが軽くなり、所持可能重量も増加する ※WarAgeでは効果がない 現在所持重量0.8倍、最大所持可能重量1.2倍	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:2
			3471	technic-3471	アース ベル	technic-3471	same-technic									5																																																																														wiki-manual	アース ベル	matched	technic-3471	3471	AC%:5%		アース チェストベル	防御力が上昇する 防御力+5%	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:3
			12383	technic-12383	アーティスト	technic-12383	same-technic																																																																																							wiki-manual	アーティスト	matched	technic-12383	12383	スキル+:10(シャウト) / スキル+:10(音楽)		インナーカラー ロング ウィッグ / ハーフツイン アウターカラー ウィッグ	音楽とシャウトの効果が上昇して、スタミナの消費を少し抑える ※WarAgeでは効果がない ST消費5%軽減、音楽とシャウトテクニックの効果がスキル+10相当される 音楽効果アップの併用関係は アイテム/追加効果/併用#音楽 を参照 シャウト効果アップの併用関係は アイテム/追加効果/併用#シャウト を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:4
			8305	technic-8305	愛玩	technic-8305	same-technic																																																																																							wiki-manual	愛玩	matched	technic-8305	8305		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	愛玩の指輪 / キャット フェイス イヤリング	ペットの取得経験値が少し上昇する ペットの成長率を1.1倍にする 詳しくは「 ペット#y66d9c48 」ページを参照 愛の女神とは併用不可 不具合だった模様、190409定期メンテにて修正、併用可	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:5
			7726	technic-7726	アイギスの盾	technic-7726	same-technic																																																																																							wiki-manual	アイギスの盾	matched	technic-7726	7726		条件・専用技・確率・競合など、数値だけでは扱えない説明を含みます / 数値効果を自動抽出できませんでした	アイギスの盾	一定確率で攻撃を跳ね返す ※WarAgeでは効果が無い 専用技『 メドゥーサ ガード 』が使用可能になる 物理ダメージを約10%の確率で100%反射し、魔法を約10%の確率で跳ね返す。 魔法反射効果については最新のもののみ適用される。 確率発動完全反射は併用可能 ※詳細は 反撃・反射・ダメージカットについて を参照	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:6
			3470	technic-3470	アイス ベル	technic-3470	same-technic																	5																																																																						wiki-manual	アイス ベル	matched	technic-3470	3470	最大重量%:5%		アイス チェストベル	最大所持重量が増加する 最大重量+5%	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:7
			2440	technic-2440	アイテム使用ディレイ短縮 Lv1	technic-2440	same-technic																																																																																							wiki-manual	アイテム使用ディレイ短縮 Lv1	matched	technic-2440	2440		数値効果を自動抽出できませんでした	ヘルパー キャップ / ファーマシー / パナセア装備 / ポーション ホルダー	アイテムの使用ディレイを短縮する アイテム使用ディレイ及びアイテム使用速度(包帯巻き速度など)-2～6% アイテム使用ディレイ短縮効果は1つのみ有効 ・Lv1 ： 2%短縮 ・Lv2 ： 4%短縮 ・Lv3 ： 6%短縮	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:8
			2441	technic-2441	アイテム使用ディレイ短縮 Lv2	technic-2441	same-technic																																																																																							wiki-manual	アイテム使用ディレイ短縮 Lv2	matched	technic-2441	2441		数値効果を自動抽出できませんでした	メディック キャップ / アヌビス マスク	アイテムの使用ディレイを短縮する アイテム使用ディレイ及びアイテム使用速度(包帯巻き速度など)-2～6% アイテム使用ディレイ短縮効果は1つのみ有効 ・Lv1 ： 2%短縮 ・Lv2 ： 4%短縮 ・Lv3 ： 6%短縮	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:9
			2442	technic-2442	アイテム使用ディレイ短縮 Lv3	technic-2442	same-technic																																																																																							wiki-manual	アイテム使用ディレイ短縮 Lv3	matched	technic-2442	2442		数値効果を自動抽出できませんでした	ジェネラルメディック キャップ / 白衣	アイテムの使用ディレイを短縮する アイテム使用ディレイ及びアイテム使用速度(包帯巻き速度など)-2～6% アイテム使用ディレイ短縮効果は1つのみ有効 ・Lv1 ： 2%短縮 ・Lv2 ： 4%短縮 ・Lv3 ： 6%短縮	アイテム/追加効果/常時発動1	MoE Wiki (main) - アイテム_追加効果_常時発動1(1).htm:10
